t,pih,x,pi,r,s,e,ph,p
1,-0.653358006583373,-0.225862721900051,-0.248151633201488,-0.372227449802232,0.904900359347198,0.251542352763825,-0.653358006583373,-0.248151633201488
2,0.0440572822355568,-0.00380179379587424,-0.142351337034934,-0.213527005552401,0.48861562730941,-0.120685097038406,-0.609300724347816,-0.390502970236422
3,0.0563525093508335,0.00920405485244158,-0.0644971492379781,-0.0967457238569671,0.218736112406176,-0.334212102590807,-0.552948214996983,-0.4550001194744
4,0.0282326566518595,0.00515935838486121,-0.0277315561965655,-0.0415973342948482,0.0937577318973492,-0.430957826447774,-0.524715558345123,-0.482731675670965
5,0.0124360975446889,0.00232715335183514,-0.0117595950870072,-0.0176393926305107,0.0397243000578122,-0.472555160742622,-0.512279460800435,-0.494491270757973
6,0.0053079698584017,0.000999444131224367,-0.00496765600113455,-0.0074514840017018,0.0167769375688998,-0.490194553373133,-0.506971490942033,-0.499458926759107
7,0.00224631499339926,0.000423681808490947,-0.00209627358002804,-0.00314441037004203,0.00707913857379884,-0.497646037374835,-0.504725175948634,-0.501555200339135
8,0.000948387420233379,0.000178962025166877,-0.000884331212765403,-0.00132649681914808,0.00298634078352349,-0.500790447744877,-0.503776788528401,-0.502439531551901
9,0.000400141856134032,7.55173402461867e-05,-0.000373031663497133,-0.000559547495245677,0.00125970210824143,-0.502116944564025,-0.503376646672267,-0.502812563215398
10,0.00016879588925028,3.18574270842256e-05,-0.000157349833159661,-0.000236024749739469,0.000531358723745524,-0.50267649205927,-0.503207850783016,-0.502969913048558
11,7.12011907471151e-05,1.34381847027042e-05,-6.63718667365045e-05,-9.95578001047339e-05,0.000224132783258995,-0.50291251680901,-0.503136649592269,-0.503036284915294
12,3.00335277294178e-05,5.66840616843202e-06,-2.79963221109716e-05,-4.19944831664346e-05,9.45414554248979e-05,-0.503012074609114,-0.50310661606454,-0.503064281237405
13,1.26684555839408e-05,2.39099485854151e-06,-1.18091246718871e-05,-1.77136870078079e-05,3.98785166745769e-05,-0.503054069092281,-0.503093947608956,-0.503076090362077
14,5.34368075730129e-06,1.008545678912e-06,-4.98120449148484e-06,-7.47180673720441e-06,1.68211489095222e-05,-0.503071782779289,-0.503088603928199,-0.503081071566569
15,2.25401705376649e-06,4.2541450523029e-07,-2.10112077527199e-06,-3.15168116288515e-06,7.09532511860559e-06,-0.503079254586026,-0.503086349911145,-0.503083172687344
16,9.50766457724087e-07,1.79444005907121e-07,-8.86273283920371e-07,-1.32940992585771e-06,2.99287749805066e-06,-0.503082406267188,-0.503085399144688,-0.503084058960628
17,4.01042588820728e-07,7.56912367665558e-08,-3.73838734357456e-07,-5.6075810151334e-07,1.26242498342649e-06,-0.503083735677114,-0.503084998102099,-0.503084432799362
18,1.69163684311878e-07,3.19273036478278e-08,-1.5768883226023e-07,-2.365332483675e-07,5.32503197655508e-07,-0.503084296435216,-0.503084828938414,-0.503084590488195
19,7.1354895530757e-08,1.3467248780408e-08,-6.65146907950512e-08,-9.97720361697326e-08,2.24615053811463e-07,-0.503084532968464,-0.503084757583519,-0.503084657002885
20,3.00981923630054e-08,5.68061718957999e-09,-2.80565467565374e-08,-4.20848201119619e-08,9.47448253329158e-08,-0.5030846327405,-0.503084727485327,-0.503084685059432
