t,pih,x,pi,r,s,e,ph,p
1,-0.638877472337154,-0.209675587226788,-0.287583920262538,-0.431375880393808,0.923821737243621,0.284944264906467,-0.638877472337154,-0.287583920262538
2,0.00822873122576701,-0.00756468778442514,-0.158935841005442,-0.238403761508163,0.484217125624046,-0.146431615487341,-0.630648741111387,-0.446519761267981
3,0.0318910070173803,0.00508591367498758,-0.0708916029976554,-0.106337404496483,0.213922357098503,-0.384835376995504,-0.598757734094006,-0.517411364265636
4,0.0163603283521701,0.00299229873115109,-0.0302968574080507,-0.0454452861120761,0.0912246242498497,-0.491172781491987,-0.582397405741836,-0.547708221673687
5,0.00719857897403378,0.00134886040942604,-0.0128198397484079,-0.0192297596226119,0.0385807591637399,-0.536618067604063,-0.575198826767803,-0.560528061422095
6,0.00306688945516528,0.000577832931413682,-0.00541166083015662,-0.00811749124523494,0.0162841100859628,-0.555847827226675,-0.572131937312637,-0.565939722252251
7,0.00129676094374905,0.000244643341063409,-0.00228311378561363,-0.00342467067842046,0.00686985789697881,-0.56396531847191,-0.570835176368888,-0.568222836037865
8,0.000547305421331163,0.000103285849146692,-0.000963082932379143,-0.00144462439856872,0.00289788179722717,-0.56738998915033,-0.570287870947557,-0.569185918970244
9,0.000230891419366633,4.35764873765028e-05,-0.000406242217470991,-0.000609363326206493,0.00122236597929181,-0.568834613548899,-0.570056979528191,-0.569592161187715
10,9.7395598051457e-05,1.83819611770405e-05,-0.000171357390705616,-0.000257036086058431,0.00051560705503384,-0.569443976875106,-0.569959583930139,-0.569763518578421
11,4.10827570905115e-05,7.7537904549249e-06,-7.22802686189765e-05,-0.000108420402928472,0.000217488211884882,-0.569701012961164,-0.569918501173049,-0.56983579884704
12,1.73291434801234e-05,3.27063479029556e-06,-3.04885285324624e-05,-4.57327927987013e-05,9.17386654762696e-05,-0.569809433364093,-0.569901172029569,-0.569866287375572
13,7.30960568017092e-06,1.37958676539904e-06,-1.28603598239552e-05,-1.92905397359405e-05,3.86962669973809e-05,-0.569855166156891,-0.569893862423888,-0.569879147735396
14,3.08326348846111e-06,5.81923288888004e-07,-5.42462552434245e-06,-8.13693828652137e-06,1.63224637729625e-05,-0.569874456696627,-0.5698907791604,-0.56988457236092
15,1.30055071360298e-06,2.45460942117275e-07,-2.28816007315151e-06,-3.43224010973496e-06,6.88497477282107e-06,-0.569882593634914,-0.569889478609686,-0.569886860520993
16,5.48585006753021e-07,1.03537825765749e-07,-9.65168284544392e-07,-1.44775242682428e-06,2.90414965631588e-06,-0.569886025875024,-0.56988893002468,-0.569887825689278
17,2.31398518225865e-07,4.36732670873855e-08,-4.07117416332977e-07,-6.1067612450716e-07,1.22499871124838e-06,-0.569887473627451,-0.569888698626161,-0.569888232806694
18,9.76061567388191e-08,1.84218110004293e-08,-1.7172610552057e-07,-2.5758915828855e-07,5.16716429984929e-07,-0.569888084303575,-0.569888601020005,-0.5698884045328
19,4.11712309017337e-08,7.77049999730234e-09,-7.24357498311958e-08,-1.08653624754489e-07,2.17956040777069e-07,-0.569888341892734,-0.569888559848774,-0.56988847696855
20,1.73664275684644e-08,3.27767290606914e-09,-3.05541073078048e-08,-4.58311609694023e-08,9.1935988436451e-08,-0.569888450546358,-0.569888542482346,-0.569888507522657
