t,pih,x,pi,r,s,e,ph,p
1,-0.560527333300982,-0.105791774594223,-0.0924722708264629,-0.840790999951472,1.04525304153669,0.48472570823571,-0.560527333300982,-0.0924722708264629
2,-0.236435907945091,-0.0446240045637108,-0.507060770160248,-0.354653861917637,0.44089794953031,-0.356065291715762,-0.796963241246073,-0.59953304098671
3,-0.0997309769652261,-0.0188228412930963,-0.213883189014443,-0.149596465447839,0.1859750645779,-0.710719153633399,-0.896694218211299,-0.813416230001153
4,-0.0420675008837845,-0.00793965843740556,-0.0902180196833821,-0.0631012513256766,0.0784461000138452,-0.860315619081238,-0.938761719095083,-0.903634249684536
5,-0.017744483052886,-0.00334902553345047,-0.0380548425198652,-0.026616724579329,0.0330893317410548,-0.923416870406915,-0.956506202147969,-0.941689092204401
6,-0.00748479639149512,-0.00141265170436832,-0.016051904534084,-0.0112271945872426,0.0139574035532211,-0.950033594986243,-0.963990998539464,-0.957740996738485
7,-0.00315716027653056,-0.0005958702965751,-0.00677085022850517,-0.00473574041479576,0.0058873692425092,-0.961260789573486,-0.967148158815995,-0.96451184696699
8,-0.00133172106365244,-0.00025134391530662,-0.00285601080666214,-0.00199758159547859,0.00248334989136606,-0.965996529988281,-0.968479879879647,-0.967367857773653
9,-0.000561732961281604,-0.000106019320185565,-0.00120469327373877,-0.000842599441922328,0.00104750125716925,-0.96799411158376,-0.969041612840929,-0.968572551047391
10,-0.000236944453611789,-4.47199855182408e-05,-0.000508151397889268,-0.000355416680417604,0.000441846268858895,-0.968836711025682,-0.969278557294541,-0.969080702445281
11,-9.99454864984223e-05,-1.88633269978679e-05,-0.000214343226451135,-0.000149918229747554,0.000186375074939895,-0.969192127706099,-0.969378502781039,-0.969295045671732
12,-4.21579831018744e-05,-7.95673570340223e-06,-9.04120679711944e-05,-6.32369746527322e-05,7.8614828294398e-05,-0.969342045935847,-0.969420660764141,-0.969385457739703
13,-1.77826493371847e-05,-3.35622889117092e-06,-3.8136693984824e-05,-2.66739740056977e-05,3.31605029790336e-05,-0.969405282910499,-0.969438443413478,-0.969423594433688
14,-7.50089530356934e-06,-1.41569015106738e-06,-1.60864302825184e-05,-1.12513429552747e-05,1.3987424277089e-05,-0.969431956884505,-0.969445944308782,-0.969439680863971
15,-3.16395095530754e-06,-5.97151943096275e-07,-6.78541352713401e-06,-4.74592643288196e-06,5.90003227730617e-06,-0.96944320822746,-0.969449108259737,-0.969446466277498
16,-1.33458543864324e-06,-2.51884526341282e-07,-2.86215374884403e-06,-2.00187815788551e-06,2.48869128325225e-06,-0.969447954153893,-0.969450442845176,-0.969449328431247
17,-5.62941182958543e-07,-1.06247355208917e-07,-1.20728442726821e-06,-8.44411774358466e-07,1.0497543085105e-06,-0.96944995603205,-0.969451005786359,-0.969450535715675
18,-2.37454093633213e-07,-4.48161729248135e-08,-5.09244372248792e-07,-3.56181140370471e-07,4.42796627970828e-07,-0.969450800443825,-0.969451243240453,-0.969451044960047
19,-1.00160457949409e-07,-1.89038997909655e-08,-2.14804254193078e-07,-1.50240686844765e-07,1.8677594573565e-07,-0.969451156624965,-0.969451343400911,-0.969451259764301
20,-4.22486604696728e-08,-7.97384970894245e-09,-9.06065344529502e-08,-6.33729906251608e-08,7.87839195467058e-08,-0.969451306865652,-0.969451385649571,-0.969451350370836
