t,pih,x,pi,r,s,e,ph,p
1,-0.560527333300981,-0.105791774594223,0.139275184610062,-0.840790999951472,1.04525304153669,0.48472570823571,-0.560527333300981,0.139275184610062
2,-0.236435907945091,-0.0446240045637107,-0.641054883725971,-0.354653861917637,0.44089794953031,-0.356065291715763,-0.796963241246072,-0.50177969911591
3,-0.099730976965226,-0.0188228412930962,-0.270403215814274,-0.149596465447839,0.185975064577899,-0.710719153633399,-0.896694218211298,-0.772182914930184
4,-0.0420675008837843,-0.00793965843740554,-0.114058719430888,-0.0631012513256765,0.0784461000138449,-0.860315619081238,-0.938761719095083,-0.886241634361072
5,-0.017744483052886,-0.00334902553345046,-0.0481110826993623,-0.0266167245793289,0.0330893317410545,-0.923416870406915,-0.956506202147969,-0.934352717060434
6,-0.00748479639149503,-0.00141265170436831,-0.0202937249344399,-0.0112271945872425,0.0139574035532209,-0.950033594986244,-0.963990998539464,-0.954646441994874
7,-0.00315716027653048,-0.000595870296575095,-0.00856009153417314,-0.00473574041479565,0.00588736924250901,-0.961260789573486,-0.967148158815994,-0.963206533529047
8,-0.00133172106365236,-0.000251343915306616,-0.00361073027796256,-0.00199758159547848,0.00248334989136589,-0.965996529988282,-0.968479879879646,-0.96681726380701
9,-0.000561732961281525,-0.000106019320185561,-0.00152304132358278,-0.000842599441922221,0.00104750125716909,-0.96799411158376,-0.969041612840928,-0.968340305130593
10,-0.00023694445361171,-4.47199855182373e-05,-0.000642433716940573,-0.000355416680417498,0.000441846268858747,-0.968836711025682,-0.969278557294539,-0.968982738847534
11,-9.99454864983441e-05,-1.88633269978645e-05,-0.000270984821141577,-0.000149918229747448,0.000186375074939755,-0.9691921277061,-0.969378502781038,-0.969253723668676
12,-4.21579831017962e-05,-7.95673570339882e-06,-0.000114304046242989,-6.32369746526266e-05,7.8614828294265e-05,-0.969342045935847,-0.96942066076414,-0.969368027714919
13,-1.77826493371066e-05,-3.35622889116753e-06,-4.82145639468665e-05,-2.66739740055922e-05,3.31605029789068e-05,-0.969405282910499,-0.969438443413477,-0.969416242278866
14,-7.5008953034913e-06,-1.41569015106399e-06,-2.0337374336357e-05,-1.12513429551692e-05,1.39874242769674e-05,-0.969431956884505,-0.96944594430878,-0.969436579653202
15,-3.1639509552295e-06,-5.97151943092891e-07,-8.57850327880755e-06,-4.7459264327765e-06,5.90003227718905e-06,-0.96944320822746,-0.969449108259735,-0.969445158156481
16,-1.33458543856521e-06,-2.51884526337899e-07,-3.61849653207492e-06,-2.00187815778005e-06,2.48869128313899e-06,-0.969447954153893,-0.969450442845174,-0.969448776653014
17,-5.62941182880512e-07,-1.06247355205535e-07,-1.52631720574084e-06,-8.44411774253009e-07,1.04975430840055e-06,-0.96944995603205,-0.969451005786357,-0.96945030297022
18,-2.37454093555183e-07,-4.48161729214317e-08,-6.43815516318126e-07,-3.56181140265016e-07,4.42796627863717e-07,-0.969450800443824,-0.96945124324045,-0.969450946785736
19,-1.00160457871379e-07,-1.89038997875838e-08,-2.71567677889024e-07,-1.50240686739309e-07,1.86775945630985e-07,-0.969451156624964,-0.969451343400908,-0.969451218353414
20,-4.22486603916431e-08,-7.97384970556076e-09,-1.14549901179983e-07,-6.33729905197058e-08,7.87839194441447e-08,-0.969451306865651,-0.969451385649569,-0.969451332903315
